Arabic,Transliteration,Translation,Last Reviewed,Interval,Ease Factor,Repetition
صاحِب,SaaHib,Friend,2025-09-27,1,2.5,0
رْفيق,rfiiq,Friend,2025-09-27,1,2.5,0
صَديق,Sadiiq,Friend,2025-09-27,1,2.5,0
حَارّ,Harr,Hot,2025-09-27,1,2.5,0
سَاخِن,Saakhin,Hot,2025-09-27,1,2.5,0
قَليل,qaliil,Little,2025-09-27,1,2.5,0
شْوَيّ,shwayy,Little,2025-09-27,1,2.5,0
رَجُل,rajul,Man,2025-09-27,1,2.5,0
زَلَمِة,zalameh,Man,2025-09-27,1,2.5,0
هَلَّأ,halla’,Now,2025-09-27,1,2.5,0
هَسّا,hassaa,Now,2025-09-27,1,2.5,0
بَعَت,ba3at,To send,2025-09-27,1,2.5,0
وَدَّى,waddaa,To send,2025-09-27,1,2.5,0
كُنْدَرَة,kundara,Shoes,2025-09-27,1,2.5,0
بوت,boot,Shoes,2025-09-27,1,2.5,0
أَحْياناً,aHyaanan,Sometimes,2025-09-27,1,2.5,0
مَرّات,marraat,Sometimes,2025-09-27,1,2.5,0
هاد,haad,This (m)This (f),2025-09-27,1,2.5,0
هاي,haay,This (m)This (f),2025-09-27,1,2.5,0
إلى,ilaa,To,2025-09-27,1,2.5,0
لَ,la___,To,2025-09-27,1,2.5,0
مَع بَعْض,ma3 ba3D,Together,2025-09-27,1,2.5,0
سَوَا,sawaa,Together,2025-09-27,1,2.5,0
رَحْلِةمِشْوار,raHlehmishwaar,Trip,2025-09-27,1,2.5,0
خالعَمّ,khaal3amm,Uncle (maternal)Uncle (paternal),2025-09-27,1,2.5,0
كْتير,kteer,A lot,2025-09-27,1,2.5,0
عَنّ,3ann,About,2025-09-27,1,2.5,0
فوق,fooq,Above,2025-09-27,1,2.5,0
غِيَاب,ghiyaab,Absence,2025-09-27,1,2.5,0
قِبِل,qibil,To accept,2025-09-27,1,2.5,0
مُمَثّل,mumaththil,Actor,2025-09-27,1,2.5,0
مُمَثّلة,mumaththila,Actress,2025-09-27,1,2.5,0
عِنْوان,3inwaan,Address,2025-09-27,1,2.5,0
دِعايِة,di3aayeh,Advertisement,2025-09-27,1,2.5,0
نَصيحة,naSiiHa,Advice,2025-09-27,1,2.5,0
نَصَح,naSaH,To advise,2025-09-27,1,2.5,0
بَعْد,ba3d,After,2025-09-27,1,2.5,0
ضِدّ,Didd,Against,2025-09-27,1,2.5,0
عُمُر,3umur,Age,2025-09-27,1,2.5,0
وافَق,waafaq,To agree,2025-09-27,1,2.5,0
اِتِّفاق,ittifaaq,Agreement,2025-09-27,1,2.5,0
هَوَا,hawa,Air,2025-09-27,1,2.5,0
مَطار,maTaar,Airport,2025-09-27,1,2.5,0
كُلّ,kull,All,2025-09-27,1,2.5,0
حَسَاسِيّة,Hasaasiyyeh,Allergy,2025-09-27,1,2.5,0
تَقْريباً,taqriiban,Almost,2025-09-27,1,2.5,0
كَمان,kamaan,Also,2025-09-27,1,2.5,0
دايْماً,daayman,Always,2025-09-27,1,2.5,0
رَهِيب,rahiib,Amazing,2025-09-27,1,2.5,0
مَبْلَغ,mablagh,Amount,2025-09-27,1,2.5,0
و,u,And,2025-09-27,1,2.5,0
غَضَب,ghaDab,Anger,2025-09-27,1,2.5,0
مْعَصِّب,m3aSSib,Angry,2025-09-27,1,2.5,0
حَيْوان,Haywaan,Animal,2025-09-27,1,2.5,0
أَعْلَن,a3lan,To announce,2025-09-27,1,2.5,0
أَزْعَج,az3aj,To annoy,2025-09-27,1,2.5,0
مِتْضَايِقمَزْعوج,mitDaayiqmaz3uuj,Annoyed,2025-09-27,1,2.5,0
مُزْعِج,muz3ij,Annoying,2025-09-27,1,2.5,0
جَواب,jawaab,Answer,2025-09-27,1,2.5,0
جاوَب,jaawab,To answer,2025-09-27,1,2.5,0
رَدّ,radd,To answer (the phone)/ reply,2025-09-27,1,2.5,0
أَيّ,ayy,Any,2025-09-27,1,2.5,0
أيّ حَدَا,AyyHada,Anyone,2025-09-27,1,2.5,0
أَيّ إشي,ayy ishiy,Anything,2025-09-27,1,2.5,0
اِعْتَذَر,i3tadhar,To apologize,2025-09-27,1,2.5,0
شَكِل,shakil,Appearance/ shape,2025-09-27,1,2.5,0
تُفَّاح,tuffaaH,Apple,2025-09-27,1,2.5,0
مَوْعِد,maw3id,Appointment,2025-09-27,1,2.5,0
عَرَبي,3arabi,Arab,2025-09-27,1,2.5,0
مَنْطِقَة,manTiqa,Area,2025-09-27,1,2.5,0
جِدَال,jidaal,Argument,2025-09-27,1,2.5,0
جيش,jaish,Army,2025-09-27,1,2.5,0
حَوالِي,Hawaaliy,Around,2025-09-27,1,2.5,0
وِصِل,wiSil,Arrive,2025-09-27,1,2.5,0
فَنّ,fann,Art,2025-09-27,1,2.5,0
فَنّان,fannaan,Artist,2025-09-27,1,2.5,0
__كَ,ka____,As,2025-09-27,1,2.5,0
سَأَل,sa’al,To ask,2025-09-27,1,2.5,0
طَلَب,Talab,To ask for,2025-09-27,1,2.5,0
خَالِةعَمِّة,khaaleh3ammeh,Aunt (maternal)Aunt (paternal),2025-09-27,1,2.5,0
خَرِيف,khariif,Autumn,2025-09-27,1,2.5,0
مَوْجُود,mawjood,Available,2025-09-27,1,2.5,0
تْجَنَّب,tjannab,To avoid,2025-09-27,1,2.5,0
رَائِع,raa’i3,Awesome,2025-09-27,1,2.5,0
بَيْبَي,baby,Baby,2025-09-27,1,2.5,0
ظَهِر,DHahir,Back,2025-09-27,1,2.5,0
سَيِّء,sayyi’,Bad,2025-09-27,1,2.5,0
مَخْبَز,makhbaz,Bakery,2025-09-27,1,2.5,0
رَصِيد,raSiid,Balance (finances),2025-09-27,1,2.5,0
موز,mooz,Banana,2025-09-27,1,2.5,0
بَنْك,bank,Bank,2025-09-27,1,2.5,0
أَساسي,asaasiy,Basic,2025-09-27,1,2.5,0
حَمّام,Hammaam,Bathroom,2025-09-27,1,2.5,0
كان,kaan,To be,2025-09-27,1,2.5,0
قِدِر,qidir,To be able,2025-09-27,1,2.5,0
غار,ghaar,To be jealous,2025-09-27,1,2.5,0
لَحْيِة,lahiyeh,Beard,2025-09-27,1,2.5,0
جَميلحِلو,jamiilHilou,Beautiful,2025-09-27,1,2.5,0
عَشانلَإنّه,3ashaanla’inno,Because,2025-09-27,1,2.5,0
صار,Saar,Become,2025-09-27,1,2.5,0
تَخِت,takhit,Bed,2025-09-27,1,2.5,0
غُرْفِة النّوم,ghurfet an-noom,Bedroom,2025-09-27,1,2.5,0
قَبْل,qabl,Before,2025-09-27,1,2.5,0
تْرَجَّى,trajjaa,To beg,2025-09-27,1,2.5,0
بِداية,bidaayeh,Beginning,2025-09-27,1,2.5,0
حِزام,Hizaam,Belt,2025-09-27,1,2.5,0
خان,khaan,To betray,2025-09-27,1,2.5,0
خِيَانِة,khiyaaneh,Betrayal,2025-09-27,1,2.5,0
أَحْسَن,aHsan,Better,2025-09-27,1,2.5,0
بَيْن,bayn,Between,2025-09-27,1,2.5,0
كْبير,kbiir,Big,2025-09-27,1,2.5,0
بَسْكَلِيت,baskaleet,Bike,2025-09-27,1,2.5,0
حِسَابفَاتُورَة,Hisaabfaatuura,Bill (e.g. in a restaurant)Bill/ invoice,2025-09-27,1,2.5,0
عَصْفُور,3aSfuur,Bird,2025-09-27,1,2.5,0
أَسْوَد,aswad,Black,2025-09-27,1,2.5,0
لام,laam,To blame,2025-09-27,1,2.5,0
حْرام,Hraam,Blanket,2025-09-27,1,2.5,0
بْلُوزة,bluuzah,Blouse,2025-09-27,1,2.5,0
أزْرَق,azraq,Blue,2025-09-27,1,2.5,0
مَرْكَب,markab,Boat,2025-09-27,1,2.5,0
جِسْم,jism,Body,2025-09-27,1,2.5,0
كِتاب,kitaab,Book,2025-09-27,1,2.5,0
حَدّ,Hadd,Border,2025-09-27,1,2.5,0
زَهْقان,zahqaan,Bored,2025-09-27,1,2.5,0
مُمِلّ,mumill,Boring,2025-09-27,1,2.5,0
صَنْدوق,Sanduuq,Box,2025-09-27,1,2.5,0
وَلَد,walad,Boy,2025-09-27,1,2.5,0
اِسْتِراحَة,istiraaHa,Break,2025-09-27,1,2.5,0
فْطُور,fTuur,Breakfast,2025-09-27,1,2.5,0
عَرُوس,3aruus,Bride,2025-09-27,1,2.5,0
جِسِر,jisir,Bridge,2025-09-27,1,2.5,0
جاب,jaab,To bring,2025-09-27,1,2.5,0
أَخُو,akhu,Brother,2025-09-27,1,2.5,0
فُرشاي,furshaay,Brush,2025-09-27,1,2.5,0
بَنَى,banaa,To build,2025-09-27,1,2.5,0
بِنايِة,binaayeh,Building,2025-09-27,1,2.5,0
باص,baaS,Bus,2025-09-27,1,2.5,0
مَشْغول,mashghuul,Busy,2025-09-27,1,2.5,0
بَس,bas,But,2025-09-27,1,2.5,0
اِشْتَرَى,ishtaraa,To buy,2025-09-27,1,2.5,0
رَنّ,rann,To call (by phone),2025-09-27,1,2.5,0
سمَّى,sammaa,To call (name),2025-09-27,1,2.5,0
هِدِي,hidii,To calm down,2025-09-27,1,2.5,0
جَمَل,jamal,Camel,2025-09-27,1,2.5,0
كاميرا,kaamiiraa,Camera,2025-09-27,1,2.5,0
لَغَى,laghaa,To cancel,2025-09-27,1,2.5,0
إِلغَاء,ilghaa’,Cancellation,2025-09-27,1,2.5,0
سَيّارة,sayyaara,Car,2025-09-27,1,2.5,0
اِهْتَمّ,ihtamm,To care,2025-09-27,1,2.5,0
سِجّادة,sijjaada,Carpet,2025-09-27,1,2.5,0
حِمِل,Himil,To carry,2025-09-27,1,2.5,0
حَال,Haal,Case,2025-09-27,1,2.5,0
بِسّقِطّ,bissqiTT,Cat,2025-09-27,1,2.5,0
بَقَرة,baqara,Cow,2025-09-27,1,2.5,0
مَرْكَز,markaz,Center,2025-09-27,1,2.5,0
أَكيد,akiid,Certainly,2025-09-27,1,2.5,0
كُرْسي,kursi,Chair,2025-09-27,1,2.5,0
فُرْصة,furSa,Chance,2025-09-27,1,2.5,0
صَدَقَة,Sadaqa,Charity,2025-09-27,1,2.5,0
رْخيص,rkhiiS,Cheap,2025-09-27,1,2.5,0
شَيَّك,shayyak,To check,2025-09-27,1,2.5,0
جِبْنة,jibneh,Cheese,2025-09-27,1,2.5,0
صِدْر,Sidr,Chest,2025-09-27,1,2.5,0
دَجاج,dajaaj,Chicken,2025-09-27,1,2.5,0
طِفِل,Tifil,Child,2025-09-27,1,2.5,0
اِخْتِيار,ikhtiyaar,Choice,2025-09-27,1,2.5,0
اِخْتار,ikhtaar,To choose,2025-09-27,1,2.5,0
دائِرة,daa’ira,Circle,2025-09-27,1,2.5,0
ظَرْف,DHarf,Circumstance,2025-09-27,1,2.5,0
مدينة,medinah,City,2025-09-27,1,2.5,0
صَفّ,Saff,Class/ grade,2025-09-27,1,2.5,0
نْظيف,nDHiif,Clean,2025-09-27,1,2.5,0
نَظَّف,naDHDHaf,To clean,2025-09-27,1,2.5,0
واضِح,waaDiH,Clear,2025-09-27,1,2.5,0
ذَكِي,dhakiy,Clever,2025-09-27,1,2.5,0
قَريب,qariib,Close/ near,2025-09-27,1,2.5,0
خَزانِة,khazaaneh,Closet,2025-09-27,1,2.5,0
غَيمِة,ghaymeh,Cloud,2025-09-27,1,2.5,0
قَهْوِة,qahwa,Coffee,2025-09-27,1,2.5,0
بارِد,baarid,Cold,2025-09-27,1,2.5,0
زَمِيل,zamiil,Colleague,2025-09-27,1,2.5,0
لون,loon,Color,2025-09-27,1,2.5,0
إِجَا,ijaa,Come,2025-09-27,1,2.5,0
مُرِيح,muriiH,Comfortable,2025-09-27,1,2.5,0
تَعْلِيْق,ta3liiq,Comment,2025-09-27,1,2.5,0
سَكَّر,sakkar,To close,2025-09-27,1,2.5,0
مُجتَمَع,mujtama3,Community,2025-09-27,1,2.5,0
شِرْكِة,shirkeh,Company,2025-09-27,1,2.5,0
قارَن,qaaran,To compare,2025-09-27,1,2.5,0
مُقارَنِة,muqaaraneh,Comparison,2025-09-27,1,2.5,0
شَكَى,shakaa,To complain,2025-09-27,1,2.5,0
شَكْوَة,shakwa,Complaint,2025-09-27,1,2.5,0
كامِل,kaamil,Complete (adj.),2025-09-27,1,2.5,0
كَمَّل,kammal,To complete,2025-09-27,1,2.5,0
مُجامَلَة,mujaamala,Compliment,2025-09-27,1,2.5,0
كامبْيُوتِر,kaambyuutir,Computer,2025-09-27,1,2.5,0
اِسْتَنْتَج,istantaj,To conclude/ deduct,2025-09-27,1,2.5,0
شَرْط,sharT,Condition,2025-09-27,1,2.5,0
اِعْتَبَر,i3tabar,To consider,2025-09-27,1,2.5,0
قارَّة,qaarra,Continent,2025-09-27,1,2.5,0
صِدْفِة,Sidfeh,Coincidence,2025-09-27,1,2.5,0
ضَلّ,Dall,To continue,2025-09-27,1,2.5,0
عَقِد,3aqid,Contract,2025-09-27,1,2.5,0
سَيْطَرَة,sayTara,Control,2025-09-27,1,2.5,0
حَدِيث,Hadiith,Conversation,2025-09-27,1,2.5,0
قَنَع,qana3,To convince,2025-09-27,1,2.5,0
نِسْخَة,niskha,Copy,2025-09-27,1,2.5,0
زاوْيِة,zaawyeh,Corner,2025-09-27,1,2.5,0
صَحيح,SaHiiH,Correct,2025-09-27,1,2.5,0
تَكْليف,takliif,Cost,2025-09-27,1,2.5,0
كَلَّف,kallaf,To cost,2025-09-27,1,2.5,0
قَحّ,qaHH,To cough,2025-09-27,1,2.5,0
قَحَّة,qaHHa,Cough,2025-09-27,1,2.5,0
صوفَةكَنَباي,Soofahkanabaay,Couch,2025-09-27,1,2.5,0
عَدّ,3add,To count,2025-09-27,1,2.5,0
بَلَد,balad,Country,2025-09-27,1,2.5,0
مَحْكَمِة,maHkameh,Court,2025-09-27,1,2.5,0
غَطَا,ghaTaa,Cover,2025-09-27,1,2.5,0
مَجْنون,majnuun,Crazy,2025-09-27,1,2.5,0
بِكِي,bikii,To cry,2025-09-27,1,2.5,0
خْيار,khyaar,Cucumber,2025-09-27,1,2.5,0
كَأس,ka’s,Cup,2025-09-27,1,2.5,0
عِلاج,3ilaaj,Cure,2025-09-27,1,2.5,0
زْبُون,zbuun,Customer,2025-09-27,1,2.5,0
رَقْصَة,raqSa,Dance,2025-09-27,1,2.5,0
رَقَص,raqaS,To dance,2025-09-27,1,2.5,0
خَطَر,khaTar,Danger,2025-09-27,1,2.5,0
بِنْت,bint,Daughter,2025-09-27,1,2.5,0
يوم,yoom,Day,2025-09-27,1,2.5,0
موت,moot,Death,2025-09-27,1,2.5,0
قَرَّر,qarrar,To decide,2025-09-27,1,2.5,0
قَرار,qaraar,Decision,2025-09-27,1,2.5,0
شَهادِة,shahaadeh,Degree/ diploma,2025-09-27,1,2.5,0
طَيِّب,Tayyib,Delicious,2025-09-27,1,2.5,0
تَسْلِيم,tasliim,Delivery,2025-09-27,1,2.5,0
دُكْتور سْنان,doktoor snaan,Dentist,2025-09-27,1,2.5,0
نَكَر,nakar,To deny,2025-09-27,1,2.5,0
قِسِم,qisim,Department,2025-09-27,1,2.5,0
صَحْرَا,SaHraa,Desert,2025-09-27,1,2.5,0
اِسْتَاهَل,istaahal,To deserve,2025-09-27,1,2.5,0
تَفْصِيل,tafSiil,Detail,2025-09-27,1,2.5,0
قاموس,qaamuus,Dictionary,2025-09-27,1,2.5,0
مات,maat,To die,2025-09-27,1,2.5,0
مُختَلِفغَير,mukhtalifghayr,DifferentDifferent from,2025-09-27,1,2.5,0
صَعِب,Sa3ib,Difficult,2025-09-27,1,2.5,0
عَشَا,3ashaa,Dinner,2025-09-27,1,2.5,0
جِهَة,jiha,Direction,2025-09-27,1,2.5,0
وِسِخ,wisikh,Dirty,2025-09-27,1,2.5,0
مُصِيبِة,muSiiba,Disaster,2025-09-27,1,2.5,0
خَصِم,khaSim,Discount,2025-09-27,1,2.5,0
ناقَش,naaqash,To discuss,2025-09-27,1,2.5,0
نِقَاش,niqaash,Discussion,2025-09-27,1,2.5,0
مُقْرِف,muqrif,Disgusting,2025-09-27,1,2.5,0
قَسَم,qasam,To divide,2025-09-27,1,2.5,0
طَلاق,Talaaq,Divorce,2025-09-27,1,2.5,0
عِمِلسَوَّى,3imilsawwaa,To doTo do/ make,2025-09-27,1,2.5,0
جَلَى,jalaa,To do the dishes,2025-09-27,1,2.5,0
دُكْتَورطَبِيْبحَكِيْم,doktoorTabiibHakiim,Doctor,2025-09-27,1,2.5,0
كَلْب,kalb,Dog,2025-09-27,1,2.5,0
حْمار,Hmaar,Donkey,2025-09-27,1,2.5,0
باب,baab,Door,2025-09-27,1,2.5,0
شَكّ,shakk,Doubt,2025-09-27,1,2.5,0
شَكّ,shakk,To doubt,2025-09-27,1,2.5,0
عَجِينِة,3ajiineh,Dough,2025-09-27,1,2.5,0
رَسَم,rasam,To draw,2025-09-27,1,2.5,0
جَرَّار,jarraar,Drawer,2025-09-27,1,2.5,0
حِلِم,Hilim,Dream,2025-09-27,1,2.5,0
حِلِم,Hilim,To dream,2025-09-27,1,2.5,0
فُسْتان,fustaan,Dress,2025-09-27,1,2.5,0
شِرِب,shirib,To drink,2025-09-27,1,2.5,0
ساق,saaq,To drive,2025-09-27,1,2.5,0
خِلال,khilaal,During,2025-09-27,1,2.5,0
بَطَّة,baTTa,Duck,2025-09-27,1,2.5,0
غَبَرَة,ghabara,Dust,2025-09-27,1,2.5,0
بَكّير,bakkiir,Early,2025-09-27,1,2.5,0
أَرْض,arD,Earth,2025-09-27,1,2.5,0
شَرْق,sharq,East,2025-09-27,1,2.5,0
سَهِل,sahil,Easy,2025-09-27,1,2.5,0
أَكَل,akal,To eat,2025-09-27,1,2.5,0
فَطَر,faTar,To eat breakfast,2025-09-27,1,2.5,0
جَهِد,jahid,Effort,2025-09-27,1,2.5,0
تَمَانيِة,tamaaniyeh,Eight,2025-09-27,1,2.5,0
كَهْرَبائِي,kahrabaa’iy,Electrician,2025-09-27,1,2.5,0
فيل,fiil,Elephant,2025-09-27,1,2.5,0
أَسِنسير,asinsiir,Elevator,2025-09-27,1,2.5,0
إِحداعِش,iHdaa3ish,Eleven,2025-09-27,1,2.5,0
سَفارَة,safaara,Embassy,2025-09-27,1,2.5,0
عاطفِة,3aaTfeh,Emotion,2025-09-27,1,2.5,0
فَاضي,faaDiy,Empty,2025-09-27,1,2.5,0
نِهايِة,nihaayeh,End,2025-09-27,1,2.5,0
طاقَة,Taaqa,Energy,2025-09-27,1,2.5,0
ماكينَة,maakiina,Engine,2025-09-27,1,2.5,0
مُهَنْدِس,muhandis,Engineer,2025-09-27,1,2.5,0
كافي,kaafiy,Enough,2025-09-27,1,2.5,0
دَخَلفات,dakhalfaat,To enter,2025-09-27,1,2.5,0
مَدخَل,madkhal,Entrance,2025-09-27,1,2.5,0
خُصوصاً,khuSuusan,Especially,2025-09-27,1,2.5,0
حَتّى,Hattaa,Even,2025-09-27,1,2.5,0
مَسا,masaa,Evening,2025-09-27,1,2.5,0
كُلّ,kull,Every,2025-09-27,1,2.5,0
كُلّ,kull,Everyone,2025-09-27,1,2.5,0
كُلّ إشيّ,kull ishiy,Everything,2025-09-27,1,2.5,0
دَليل,daliil,Evidence,2025-09-27,1,2.5,0
بالضَّبْط,biDDabT/ bizzabT,Exactly,2025-09-27,1,2.5,0
مَثَل,mathal,Example,2025-09-27,1,2.5,0
حِجِّةعُذُر,Hijjeh3udhur,Excuse,2025-09-27,1,2.5,0
تَوَقَّع,tawaqqa3,To expect,2025-09-27,1,2.5,0
تَجْرُبَةخِبْرَة,tajrubakhibra,Experience,2025-09-27,1,2.5,0
عَيْن,3ain,Eye,2025-09-27,1,2.5,0
وِجْه,wijh,Face,2025-09-27,1,2.5,0
واجَه,waajah,To face,2025-09-27,1,2.5,0
أَهِلعَيْلِة,ahil3aileh,Family,2025-09-27,1,2.5,0
بْعيد,b3iid,Far,2025-09-27,1,2.5,0
بْسُرْعَةسَريع,bsur3asarii3,Fast (adv.)Fast (adj.),2025-09-27,1,2.5,0
صام,Saam,To fast,2025-09-27,1,2.5,0
ناصِح,naaSiH,Fat,2025-09-27,1,2.5,0
أب,ab,Father,2025-09-27,1,2.5,0
خوف,khoof,Fear,2025-09-27,1,2.5,0
خاف,khaaf,To fear,2025-09-27,1,2.5,0
حَرارَة,Haraara,Fever,2025-09-27,1,2.5,0
قَليل,qaliil,Few,2025-09-27,1,2.5,0
خَطيب,khaTiib,Fiancé,2025-09-27,1,2.5,0
خَطيبة,khaTiiba,Fiancée,2025-09-27,1,2.5,0
مْقاتَلِة,mqaataleh,Fight,2025-09-27,1,2.5,0
لَقَى,laqaa,To find,2025-09-27,1,2.5,0
إِصْبَع,iSba3,Finger,2025-09-27,1,2.5,0
خَلَص,khalaS,To finish,2025-09-27,1,2.5,0
نار,naar,Fire,2025-09-27,1,2.5,0
أَوَّل,awwal,First,2025-09-27,1,2.5,0
سَمَك,samak,Fish,2025-09-27,1,2.5,0
خَمْسِة,khamseh,Five,2025-09-27,1,2.5,0
صَلَّح,SallaH,To fix/ repair,2025-09-27,1,2.5,0
شَقَّة,shaqqa,Flat,2025-09-27,1,2.5,0
فَيَضان,fayaDaan,Flood,2025-09-27,1,2.5,0
طْحين,THiin,Flour,2025-09-27,1,2.5,0
زَهْرَةوَرْد,zahraward,Flower,2025-09-27,1,2.5,0
رَكَّز,rakkaz,To focus,2025-09-27,1,2.5,0
تابَع,taaba3,To follow,2025-09-27,1,2.5,0
أَكِل,akil,Food,2025-09-27,1,2.5,0
كُرِة القَدَم,kuret al-qadam,Football,2025-09-27,1,2.5,0
لَإلى,lailaa,For,2025-09-27,1,2.5,0
أَجنَبي,ajnabiy,Foreigner,2025-09-27,1,2.5,0
غابِة,ghaabeh,Forest,2025-09-27,1,2.5,0
نِسِي,nisii,To forget,2025-09-27,1,2.5,0
شُوكِة,shookeh,Fork,2025-09-27,1,2.5,0
أَرْبَعة,arba3,Four,2025-09-27,1,2.5,0
حُرّ,Horr,Free,2025-09-27,1,2.5,0
ثَلّاجِة,thallaajeh,Fridge,2025-09-27,1,2.5,0
صاحِبرْفيقصَديق,SaaHibrfiiqSadiiq,Friend,2025-09-27,1,2.5,0
مِن,min,From,2025-09-27,1,2.5,0
فَواكِه,fawaakeh,Fruits,2025-09-27,1,2.5,0
مَلْيان,malyaan,Full,2025-09-27,1,2.5,0
مُضْحِك,muDHik,Funny,2025-09-27,1,2.5,0
مُسْتَقْبَل,mustaqbal,Future,2025-09-27,1,2.5,0
لْعِبِة,l3ibeh,Game/ toy,2025-09-27,1,2.5,0
كَراج,karaaj,Garage,2025-09-27,1,2.5,0
ثوم,thoom,Garlic,2025-09-27,1,2.5,0
بَوّابِة,bawwaabeh,Gate,2025-09-27,1,2.5,0
عُموماً,3umuuman,Generally,2025-09-27,1,2.5,0
كَريم,kariim,Generous,2025-09-27,1,2.5,0
أَخَد,akhad,To get,2025-09-27,1,2.5,0
تْحَمَّس,tHammas,To get excited,2025-09-27,1,2.5,0
جاع,jaa3,To get hungry,2025-09-27,1,2.5,0
تِعِب,ti3ib,To get tired,2025-09-27,1,2.5,0
هَدِيّة,hadiyyeh,Gift,2025-09-27,1,2.5,0
بِنْت,bint,Girl,2025-09-27,1,2.5,0
أَعْطَى,a3Taa,To give,2025-09-27,1,2.5,0
قَزَاز,qazaaz,Glass,2025-09-27,1,2.5,0
راح,raaH,To go,2025-09-27,1,2.5,0
نِزِل,nizil,To go down,2025-09-27,1,2.5,0
مْنيح,mniiH,Good,2025-09-27,1,2.5,0
حُكومِة,Hukuumeh,Government,2025-09-27,1,2.5,0
عَظيم,3aDHiim,Great,2025-09-27,1,2.5,0
شَوَى,shawaa,To grill,2025-09-27,1,2.5,0
أَخْضَر,akhDar,Green,2025-09-27,1,2.5,0
عَريس,3ariis,Groom,2025-09-27,1,2.5,0
ضَيْف,Dayf,Guest,2025-09-27,1,2.5,0
ذَنْب,dhanb,Guilt,2025-09-27,1,2.5,0
خَليج,khaliij,Gulf,2025-09-27,1,2.5,0
شَبّ,shabb,Guy,2025-09-27,1,2.5,0
شَعْر,sha3r,Hair,2025-09-27,1,2.5,0
إِيد,iid,Hand,2025-09-27,1,2.5,0
مَبْسوط,mabsooT,Happy,2025-09-27,1,2.5,0
قْبَّعة,qbba3a,Hat,2025-09-27,1,2.5,0
كان عِنْدُه,kaan 3indo,To have,2025-09-27,1,2.5,0
هُو,huweh,He,2025-09-27,1,2.5,0
راس,raas,Head,2025-09-27,1,2.5,0
صُداع,Sudaa3,Headache,2025-09-27,1,2.5,0
صِحَّة,SiHHa,Health,2025-09-27,1,2.5,0
سِمِع,simi3,To hear,2025-09-27,1,2.5,0
قَلْب,qalb,Heart,2025-09-27,1,2.5,0
ثْقيل,thqiil,Heavy,2025-09-27,1,2.5,0
مُسَاعَدِة,musaa3adeh,Help,2025-09-27,1,2.5,0
سَاعَد,saa3ad,To help,2025-09-27,1,2.5,0
أعْشاب,a3shaab,Herbs,2025-09-27,1,2.5,0
هون,hoon,Here,2025-09-27,1,2.5,0
عالي,3aaliy,High,2025-09-27,1,2.5,0
تاريخ,taariikh,History,2025-09-27,1,2.5,0
هِوايِة,hiwaayeh,Hobby,2025-09-27,1,2.5,0
بَيْت,beyt,Home,2025-09-27,1,2.5,0
وَطَن,waTan,Homeland,2025-09-27,1,2.5,0
صَريح,SariiH,Honest,2025-09-27,1,2.5,0
